index,source_index,raw_gripper_m,threshold_m,command_gripper_m,feedback_gripper_m
1363,1351,0.054098547,0.035000000,0.070000000,0.069400000
1382,1351,0.055319171,0.035000000,0.070000000,0.069400000
1388,1351,0.055361986,0.035000000,0.070000000,0.069400000
1393,1351,0.055386584,0.035000000,0.070000000,0.069400000
1399,1351,0.054649498,0.035000000,0.070000000,0.069400000
1403,1351,0.053815223,0.035000000,0.070000000,0.069400000
1408,1351,0.053975660,0.035000000,0.070000000,0.069400000
1411,1351,0.053711720,0.035000000,0.070000000,0.069400000
1416,1351,0.053244669,0.035000000,0.070000000,0.069400000
1422,1351,0.053097926,0.035000000,0.070000000,0.069400000
1427,1351,0.053477935,0.035000000,0.070000000,0.069400000
1432,1351,0.053113695,0.035000000,0.070000000,0.069400000
1438,1351,0.052182265,0.035000000,0.070000000,0.069400000
1446,1351,0.051984817,0.035000000,0.070000000,0.069400000
1452,1351,0.051735301,0.035000000,0.070000000,0.069400000
1460,1351,0.051482394,0.035000000,0.070000000,0.069400000
1465,1351,0.051587738,0.035000000,0.070000000,0.069400000
1469,1351,0.051259980,0.035000000,0.070000000,0.069400000
1472,1351,0.051568061,0.035000000,0.070000000,0.069400000
1479,1351,0.051129270,0.035000000,0.070000000,0.069400000
1500,1488,0.044582386,0.035000000,0.070000000,0.069400000
1522,1488,0.044332299,0.035000000,0.070000000,0.069400000
